Rank,Firearms,MSA_name,,Rank,Homicides,MSA_name,,Rank,Firearm Licenses,MSA_name
191,0.066120879,"Midland, TX MSA",,191,0.23256196,"Merced, CA MSA",,191,0.138405547,"Tucson, AZ MSA"
192,0.064688574,"Spearfish, SD MicroSA",,192,0.23058749,"Alamogordo, NM MicroSA",,192,0.13806846,"Borger, TX MicroSA"
193,0.064644789,"Calhoun, GA MicroSA",,193,0.230272512,"Odessa, TX MSA",,193,0.135414235,"Fallon, NV MicroSA"
194,0.064444247,"Carbondale-Marion, IL MSA",,194,0.229480626,"Tupelo, MS MicroSA",,194,0.135367783,"Salem, OR MSA"
195,0.064404829,"Danville, KY MicroSA",,195,0.229101698,"Laurel, MS MicroSA",,195,0.135314201,"Kendallville, IN MicroSA"
196,0.063730067,"Charlottesville, VA MSA",,196,0.228968383,"Bay City, TX MicroSA",,196,0.134030425,"Oil City, PA MicroSA"
197,0.063723358,"Rolla, MO MicroSA",,197,0.22600236,"Louisville/Jefferson County, KY-IN MSA",,197,0.133922799,"Jacksonville, NC MSA"
198,0.06363015,"Hays, KS MicroSA",,198,0.22502144,"Lake Charles, LA MSA",,198,0.133033736,"Payson, AZ MicroSA"
199,0.063333462,"Gainesville, GA MSA",,199,0.224762092,"Farmington, MO MicroSA",,199,0.132715729,"Opelousas, LA MicroSA"
200,0.063304836,"Woodward, OK MicroSA",,200,0.224535274,"Ocala, FL MSA",,200,0.132089018,"Jackson, MS MSA"
201,0.06319045,"Valley, AL MicroSA",,201,0.224434628,"Visalia-Porterville, CA MSA",,201,0.131527908,"Provo-Orem, UT MSA"
202,0.062812305,"Richmond, IN MicroSA",,202,0.224298163,"Paragould, AR MicroSA",,202,0.13076848,"Tampa-St. Petersburg-Clearwater, FL MSA"
203,0.06264092,"Killeen-Temple, TX MSA",,203,0.223360433,"St. Joseph, MO-KS MSA",,203,0.130432454,"Joplin, MO MSA"
204,0.062161655,"Goldsboro, NC MSA",,204,0.223007346,"Washington, NC MicroSA",,204,0.129742192,"Clarksville, TN-KY MSA"
205,0.062157387,"Mountain Home, AR MicroSA",,205,0.22193982,"Bainbridge, GA MicroSA",,205,0.12839827,"Portsmouth, OH MicroSA"
206,0.062151459,"Silver City, NM MicroSA",,206,0.22011169,"Flagstaff, AZ MSA",,206,0.128320409,"Scottsbluff, NE MicroSA"
207,0.061724075,"Tulsa, OK MSA",,207,0.219930225,"Deming, NM MicroSA",,207,0.127787886,"Bucyrus, OH MicroSA"
208,0.061587508,"Clewiston, FL MicroSA",,208,0.219730962,"Tuscaloosa, AL MSA",,208,0.127677953,"Jamestown, ND MicroSA"
209,0.061072409,"Midland, MI MSA",,209,0.218945137,"Paris, TN MicroSA",,209,0.127472113,"Manhattan, KS MSA"
210,0.061040469,"Altus, OK MicroSA",,210,0.218718477,"Durham-Chapel Hill, NC MSA",,210,0.126828159,"Ruston, LA MicroSA"
211,0.060891079,"Fayetteville, NC MSA",,211,0.218513557,"West Plains, MO MicroSA",,211,0.124375385,"Indiana, PA MicroSA"
212,0.06083556,"Paris, TN MicroSA",,212,0.217914249,"Picayune, MS MicroSA",,212,0.1240867,"Rome, GA MSA"
213,0.06082946,"Dumas, TX MicroSA",,213,0.217578296,"Uvalde, TX MicroSA",,213,0.123467961,"Boulder, CO MSA"
214,0.060733852,"Rocky Mount, NC MSA",,214,0.215140488,"Richmond, VA MSA",,214,0.123414185,"Wichita, KS MSA"
215,0.060683332,"Gettysburg, PA MSA",,215,0.214447147,"Indianapolis-Carmel-Anderson, IN MSA",,215,0.122973,"New Castle, PA MicroSA"
216,0.060618162,"Newberry, SC MicroSA",,216,0.214022244,"Decatur, IL MSA",,216,0.122334642,"Tahlequah, OK MicroSA"
217,0.060560537,"St. Louis, MO-IL MSA",,217,0.212653438,"McMinnville, TN MicroSA",,217,0.122132088,"Bismarck, ND MSA"
218,0.060146074,"Pine Bluff, AR MSA",,218,0.212503271,"Mount Pleasant, TX MicroSA",,218,0.122027095,"Nacogdoches, TX MicroSA"
219,0.059843114,"Bay City, TX MicroSA",,219,0.211409799,"Bluefield, WV-VA MicroSA",,219,0.121983473,"Brookings, OR MicroSA"
220,0.059477832,"Branson, MO MicroSA",,220,0.20988259,"Elizabeth City, NC MicroSA",,220,0.121954327,"Cadillac, MI MicroSA"
221,0.059252635,"Chattanooga, TN-GA MSA",,221,0.208708012,"Milwaukee-Waukesha-West Allis, WI MSA",,221,0.121611056,"Tupelo, MS MicroSA"
222,0.059101467,"Johnstown, PA MSA",,222,0.208453783,"Huntsville, AL MSA",,222,0.120061728,"Paducah, KY-IL MicroSA"
223,0.05892479,"Borger, TX MicroSA",,223,0.206910595,"Bemidji, MN MicroSA",,223,0.119440264,"Chattanooga, TN-GA MSA"
224,0.058713609,"Jacksonville, TX MicroSA",,224,0.203094533,"Vallejo-Fairfield, CA MSA",,224,0.118993547,"Davenport-Moline-Rock Island, IA-IL MSA"
225,0.058690301,"Lewiston, ID-WA MSA",,225,0.201213261,"Roseburg, OR MicroSA",,225,0.11885897,"Williamsport, PA MSA"
226,0.058650382,"Charleston, WV MSA",,226,0.199284915,"Sebring, FL MSA",,226,0.118705055,"Red Wing, MN MicroSA"
227,0.058630689,"Richmond, VA MSA",,227,0.199092827,"Martin, TN MicroSA",,227,0.116646366,"Youngstown-Warren-Boardman, OH-PA MSA"
228,0.058599976,"Winston-Salem, NC MSA",,228,0.198306583,"Valdosta, GA MSA",,228,0.116511231,"Gettysburg, PA MSA"
229,0.058437287,"Riverton, WY MicroSA",,229,0.197683848,"Sulphur Springs, TX MicroSA",,229,0.116386363,"St. George, UT MSA"
230,0.058372551,"Plainview, TX MicroSA",,230,0.195981485,"Fort Leonard Wood, MO MicroSA",,230,0.116013493,"Spencer, IA MicroSA"
231,0.058201054,"Clarksville, TN-KY MSA",,231,0.195644827,"Campbellsville, KY MicroSA",,231,0.115700363,"Washington, NC MicroSA"
232,0.05783455,"Dunn, NC MicroSA",,232,0.195153456,"Ruston, LA MicroSA",,232,0.114561107,"Waterloo-Cedar Falls, IA MSA"
233,0.057773882,"Roanoke, VA MSA",,233,0.194595512,"Cleveland-Elyria, OH MSA",,233,0.113460885,"Farmington, MO MicroSA"
234,0.057744385,"Tucson, AZ MSA",,234,0.193863041,"Shelton, WA MicroSA",,234,0.113377888,"Monroe, LA MSA"
235,0.057462725,"Warrensburg, MO MicroSA",,235,0.190945704,"Harrison, AR MicroSA",,235,0.112803515,"Cambridge, OH MicroSA"
236,0.057460364,"San Antonio-New Braunfels, TX MSA",,236,0.190754414,"Effingham, IL MicroSA",,236,0.112732274,"Waycross, GA MicroSA"
237,0.057398241,"Hickory-Lenoir-Morganton, NC MSA",,237,0.190482439,"Red Bluff, CA MicroSA",,237,0.112578209,"Jackson, WY-ID MicroSA"
238,0.05722062,"Douglas, GA MicroSA",,238,0.189436416,"Greenville, NC MSA",,238,0.112502068,"Huntington-Ashland, WV-KY-OH MSA"
239,0.057213737,"Roanoke Rapids, NC MicroSA",,239,0.189427864,"Youngstown-Warren-Boardman, OH-PA MSA",,239,0.111527057,"Dothan, AL MSA"
240,0.057178324,"McMinnville, TN MicroSA",,240,0.189124827,"Richmond, IN MicroSA",,240,0.111115275,"Meridian, MS MicroSA"
241,0.057143064,"Palatka, FL MicroSA",,241,0.187880609,"Rome, GA MSA",,241,0.109695721,"Springfield, IL MSA"
242,0.056878125,"Boise City, ID MSA",,242,0.187565162,"Marshall, MO MicroSA",,242,0.109458784,"Newton, IA MicroSA"
243,0.056720765,"New Castle, PA MicroSA",,243,0.186177466,"Marion, IN MicroSA",,243,0.10923273,"Midland, MI MSA"
244,0.056627811,"Athens, OH MicroSA",,244,0.184942078,"Gadsden, AL MSA",,244,0.108482082,"Aberdeen, SD MicroSA"
245,0.055818669,"Dalton, GA MSA",,245,0.184364996,"Kingsville, TX MicroSA",,245,0.108364194,"Boone, NC MicroSA"
246,0.055732587,"New Orleans-Metairie, LA MSA",,246,0.18191979,"New Bern, NC MSA",,246,0.107943586,"Cedar City, UT MicroSA"
247,0.055288297,"Greensboro-High Point, NC MSA",,247,0.180772044,"Thomaston, GA MicroSA",,247,0.106641359,"Alexandria, LA MSA"
248,0.054862554,"Ada, OK MicroSA",,248,0.180442911,"Athens, TX MicroSA",,248,0.106436298,"Birmingham-Hoover, AL MSA"
249,0.054289504,"Glens Falls, NY MSA",,249,0.180242262,"Parsons, KS MicroSA",,249,0.105578138,"Durango, CO MicroSA"
250,0.053750461,"Lake City, FL MicroSA",,250,0.180231424,"Weatherford, OK MicroSA",,250,0.105566031,"Baton Rouge, LA MSA"
251,0.053709959,"Middlesborough, KY MicroSA",,251,0.178396206,"South Bend-Mishawaka, IN-MI MSA",,251,0.105561441,"Minneapolis-St. Paul-Bloomington, MN-WI MSA"
252,0.053707145,"Bennettsville, SC MicroSA",,252,0.178279436,"Fredericksburg, TX MicroSA",,252,0.105371771,"Logan, UT-ID MSA"
253,0.05344571,"Mountain Home, ID MicroSA",,253,0.177559952,"Juneau, AK MicroSA",,253,0.104272048,"Tullahoma-Manchester, TN MicroSA"
254,0.053387848,"Knoxville, TN MSA",,254,0.176713398,"Greensboro-High Point, NC MSA",,254,0.104258837,"Coffeyville, KS MicroSA"
255,0.053215417,"Indianola, MS MicroSA",,255,0.174872634,"Detroit-Warren-Dearborn, MI MSA",,255,0.10336653,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA"
256,0.053178168,"Indianapolis-Carmel-Anderson, IN MSA",,256,0.174840622,"Palestine, TX MicroSA",,256,0.102037633,"Beaumont-Port Arthur, TX MSA"
257,0.053133982,"La Grande, OR MicroSA",,257,0.174328626,"North Wilkesboro, NC MicroSA",,257,0.101253253,"Watertown-Fort Atkinson, WI MicroSA"
258,0.052067853,"Lake Charles, LA MSA",,258,0.173978029,"Ottumwa, IA MicroSA",,258,0.101195532,"DeRidder, LA MicroSA"
259,0.052061729,"Stillwater, OK MicroSA",,259,0.172777078,"Corpus Christi, TX MSA",,259,0.100950055,"Taylorville, IL MicroSA"
260,0.051939356,"Waco, TX MSA",,260,0.171467487,"Lufkin, TX MicroSA",,260,0.100050022,"Knoxville, TN MSA"
261,0.051863795,"Rome, GA MSA",,261,0.171220669,"Chattanooga, TN-GA MSA",,261,0.099349749,"Twin Falls, ID MicroSA"
262,0.051844774,"Lancaster, PA MSA",,262,0.169353013,"Murray, KY MicroSA",,262,0.098926457,"Maryville, MO MicroSA"
263,0.051512116,"Warsaw, IN MicroSA",,263,0.16841765,"Canon City, CO MicroSA",,263,0.098876424,"Flagstaff, AZ MSA"
264,0.05141192,"Ocala, FL MSA",,264,0.16696286,"Parkersburg-Vienna, WV MSA",,264,0.098278515,"Rocky Mount, NC MSA"
265,0.051274149,"Mansfield, OH MSA",,265,0.165644343,"Gulfport-Biloxi-Pascagoula, MS MSA",,265,0.09810368,"Escanaba, MI MicroSA"
266,0.05114262,"Savannah, GA MSA",,266,0.164438539,"Oklahoma City, OK MSA",,266,0.098094057,"Morristown, TN MSA"
267,0.051053199,"Coeur d'Alene, ID MSA",,267,0.163733232,"Frankfort, KY MicroSA",,267,0.097934008,"Columbia, SC MSA"
268,0.050752767,"Walla Walla, WA MSA",,268,0.161798619,"Wauchula, FL MicroSA",,268,0.097650985,"Ocala, FL MSA"
269,0.050000146,"Mount Pleasant, TX MicroSA",,269,0.161648684,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",,269,0.097588735,"Evansville, IN-KY MSA"
270,0.049907481,"Pensacola-Ferry Pass-Brent, FL MSA",,270,0.160326709,"Dunn, NC MicroSA",,270,0.095621747,"Fairmont, WV MicroSA"
271,0.049826648,"Chambersburg-Waynesboro, PA MSA",,271,0.160319923,"Andrews, TX MicroSA",,271,0.093581609,"Bedford, IN MicroSA"
272,0.049638324,"Lebanon, MO MicroSA",,272,0.158864851,"Panama City, FL MSA",,272,0.092337758,"Eugene, OR MSA"
273,0.04950345,"Alamogordo, NM MicroSA",,273,0.157096053,"Lima, OH MSA",,273,0.092140456,"Greenville-Anderson-Mauldin, SC MSA"
274,0.049125016,"North Wilkesboro, NC MicroSA",,274,0.156641878,"Ukiah, CA MicroSA",,274,0.091101993,"Athens-Clarke County, GA MSA"
275,0.048782506,"Jamestown, ND MicroSA",,275,0.154931012,"Enterprise, AL MicroSA",,275,0.090892794,"Abilene, TX MSA"
276,0.048662024,"Fort Polk South, LA MicroSA",,276,0.154225309,"Kokomo, IN MSA",,276,0.090222451,"Rochelle, IL MicroSA"
277,0.048347579,"Madison, IN MicroSA",,277,0.153810438,"Killeen-Temple, TX MSA",,277,0.089731069,"Eau Claire, WI MSA"
278,0.048106086,"Pahrump, NV MicroSA",,278,0.153219148,"Dayton, OH MSA",,278,0.089620203,"Zanesville, OH MicroSA"
279,0.047784456,"Greenville, NC MSA",,279,0.151624688,"Jacksonville, TX MicroSA",,279,0.089525475,"Fort Polk South, LA MicroSA"
280,0.047326346,"Bozeman, MT MicroSA",,280,0.150747371,"Grants Pass, OR MSA",,280,0.089387569,"Ogden-Clearfield, UT MSA"
281,0.047296499,"Carlsbad-Artesia, NM MicroSA",,281,0.150306401,"Yuba City, CA MSA",,281,0.088638899,"Ponca City, OK MicroSA"
282,0.047269194,"Bowling Green, KY MSA",,282,0.149997009,"Abilene, TX MSA",,282,0.087945655,"Newberry, SC MicroSA"
283,0.047177311,"Marshall, TX MicroSA",,283,0.148042671,"Moberly, MO MicroSA",,283,0.087057458,"Carson City, NV MSA"
284,0.046787785,"Clovis, NM MicroSA",,284,0.145624893,"Dyersburg, TN MicroSA",,284,0.085095068,"Brunswick, GA MSA"
285,0.046380002,"Waycross, GA MicroSA",,285,0.144681927,"Okeechobee, FL MicroSA",,285,0.084897556,"Greenville, NC MSA"
286,0.046058109,"Big Rapids, MI MicroSA",,286,0.142980377,"Miami, OK MicroSA",,286,0.084559541,"Wilmington, OH MicroSA"
287,0.045995498,"Fergus Falls, MN MicroSA",,287,0.141442721,"Altus, OK MicroSA",,287,0.083697453,"Anniston-Oxford-Jacksonville, AL MSA"
288,0.0459867,"Paragould, AR MicroSA",,288,0.140664796,"Sterling, CO MicroSA",,288,0.081880817,"Lynchburg, VA MSA"
289,0.045285047,"Port Angeles, WA MicroSA",,289,0.139216874,"Fresno, CA MSA",,289,0.081161785,"Wheeling, WV-OH MSA"
290,0.04487199,"Boone, NC MicroSA",,290,0.138222613,"Hanford-Corcoran, CA MSA",,290,0.081117898,"Detroit-Warren-Dearborn, MI MSA"
291,0.044709612,"Logansport, IN MicroSA",,291,0.137428312,"Fairmont, WV MicroSA",,291,0.080952363,"Brownwood, TX MicroSA"
292,0.04436546,"College Station-Bryan, TX MSA",,292,0.136592027,"Burlington, NC MSA",,292,0.080587636,"Lamesa, TX MicroSA"
293,0.044108917,"Beckley, WV MSA",,293,0.136201029,"Chicago-Naperville-Elgin, IL-IN-WI MSA",,293,0.080284598,"Somerset, PA MicroSA"
294,0.043656926,"Thomaston, GA MicroSA",,294,0.135006963,"Greenville-Anderson-Mauldin, SC MSA",,294,0.080004615,"Farmington, NM MSA"
295,0.043107597,"Kansas City, MO-KS MSA",,295,0.132846979,"Florence-Muscle Shoals, AL MSA",,295,0.079890047,"Cumberland, MD-WV MSA"
296,0.043019113,"Austin-Round Rock, TX MSA",,296,0.132573801,"Arkadelphia, AR MicroSA",,296,0.07777245,"Bluefield, WV-VA MicroSA"
297,0.042888891,"Fort Smith, AR-OK MSA",,297,0.131971434,"Toccoa, GA MicroSA",,297,0.077365578,"Hot Springs, AR MSA"
298,0.04267004,"Panama City, FL MSA",,298,0.131218671,"Fernley, NV MicroSA",,298,0.077109042,"Lubbock, TX MSA"
299,0.042556643,"Somerset, PA MicroSA",,299,0.130496383,"Madera, CA MSA",,299,0.077102488,"Elizabethtown-Fort Knox, KY MSA"
300,0.042548072,"Staunton-Waynesboro, VA MSA",,300,0.130331753,"Pampa, TX MicroSA",,300,0.076919789,"Duluth, MN-WI MSA"
301,0.04244559,"Pottsville, PA MicroSA",,301,0.130259993,"Wilmington, NC MSA",,301,0.076901515,"Orlando-Kissimmee-Sanford, FL MSA"
302,0.042232758,"Lumberton, NC MicroSA",,302,0.128993329,"Amarillo, TX MSA",,302,0.07648772,"Palm Bay-Melbourne-Titusville, FL MSA"
303,0.041996527,"Cincinnati, OH-KY-IN MSA",,303,0.128852658,"Fort Smith, AR-OK MSA",,303,0.07617002,"Lexington-Fayette, KY MSA"
304,0.041899881,"Yankton, SD MicroSA",,304,0.128017267,"New Castle, PA MicroSA",,304,0.074840895,"Columbus, OH MSA"
305,0.041373166,"Hagerstown-Martinsburg, MD-WV MSA",,305,0.127971272,"Muncie, IN MSA",,305,0.074493356,"Sevierville, TN MicroSA"
306,0.040829747,"Searcy, AR MicroSA",,306,0.126109472,"Yankton, SD MicroSA",,306,0.07418072,"Wabash, IN MicroSA"
307,0.040806178,"Lufkin, TX MicroSA",,307,0.12442573,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",,307,0.074060873,"Janesville-Beloit, WI MSA"
308,0.040492631,"Hammond, LA MSA",,308,0.124404182,"Rio Grande City, TX MicroSA",,308,0.072983585,"Vidalia, GA MicroSA"
309,0.039864044,"Cape Girardeau, MO-IL MSA",,309,0.124020973,"Las Vegas-Henderson-Paradise, NV MSA",,309,0.072383307,"Dickinson, ND MicroSA"
310,0.039725658,"Beaumont-Port Arthur, TX MSA",,310,0.124019975,"Sebastian-Vero Beach, FL MSA",,310,0.069555989,"Mitchell, SD MicroSA"
311,0.039665347,"Ponca City, OK MicroSA",,311,0.123380401,"Victoria, TX MSA",,311,0.069378656,"Bradford, PA MicroSA"
312,0.03952434,"Camden, AR MicroSA",,312,0.122982247,"Somerset, KY MicroSA",,312,0.069197927,"Waco, TX MSA"
313,0.039380454,"Montrose, CO MicroSA",,313,0.12219382,"Scottsboro, AL MicroSA",,313,0.068077402,"Fort Morgan, CO MicroSA"
314,0.03904104,"Charleston-North Charleston, SC MSA",,314,0.121538846,"Albemarle, NC MicroSA",,314,0.067923399,"Macon, GA MSA"
315,0.03896506,"Albemarle, NC MicroSA",,315,0.121154519,"Roanoke, VA MSA",,315,0.067822996,"Chillicothe, OH MicroSA"
316,0.038962046,"Helena, MT MicroSA",,316,0.117072829,"Fort Dodge, IA MicroSA",,316,0.067447931,"San Angelo, TX MSA"
317,0.038898702,"Bogalusa, LA MicroSA",,317,0.116671095,"Great Bend, KS MicroSA",,317,0.06704194,"Brookhaven, MS MicroSA"
318,0.038772708,"Laurinburg, NC MicroSA",,318,0.11649725,"Union City, TN-KY MicroSA",,318,0.066479895,"Jacksonville, TX MicroSA"
319,0.0380051,"Baraboo, WI MicroSA",,319,0.116355524,"Greensburg, IN MicroSA",,319,0.066332022,"Duncan, OK MicroSA"
320,0.037947445,"Pittsburgh, PA MSA",,320,0.115357129,"Paris, TX MicroSA",,320,0.065386052,"Peoria, IL MSA"
321,0.037938258,"Daphne-Fairhope-Foley, AL MSA",,321,0.115188022,"Starkville, MS MicroSA",,321,0.064699686,"Elk City, OK MicroSA"
322,0.037466582,"Greenwood, SC MicroSA",,322,0.113660438,"Michigan City-La Porte, IN MSA",,322,0.064493093,"Hutchinson, KS MicroSA"
323,0.037429471,"Nacogdoches, TX MicroSA",,323,0.113461622,"Nacogdoches, TX MicroSA",,323,0.064211555,"Morehead City, NC MicroSA"
324,0.037004728,"Big Spring, TX MicroSA",,324,0.113070844,"Jackson, MI MSA",,324,0.062306599,"Harrisburg-Carlisle, PA MSA"
325,0.036434786,"Tampa-St. Petersburg-Clearwater, FL MSA",,325,0.111753406,"Tallahassee, FL MSA",,325,0.062105859,"Parsons, KS MicroSA"
326,0.036407447,"Lewistown, PA MicroSA",,326,0.111648644,"Grand Junction, CO MSA",,326,0.060260609,"McComb, MS MicroSA"
327,0.036228198,"Jackson, WY-ID MicroSA",,327,0.110763284,"Pensacola-Ferry Pass-Brent, FL MSA",,327,0.059990748,"Fort Wayne, IN MSA"
328,0.036188051,"Youngstown-Warren-Boardman, OH-PA MSA",,328,0.110701432,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",,328,0.058501541,"Picayune, MS MicroSA"
329,0.035946287,"Hot Springs, AR MSA",,329,0.110344467,"Middlesborough, KY MicroSA",,329,0.05787073,"Scottsboro, AL MicroSA"
330,0.035758825,"Clarksburg, WV MicroSA",,330,0.109420046,"Mount Airy, NC MicroSA",,330,0.057168007,"Watertown, SD MicroSA"
331,0.035297063,"Cheyenne, WY MSA",,331,0.10906488,"Wichita, KS MSA",,331,0.057140126,"Wilson, NC MicroSA"
332,0.035279846,"Salisbury, MD-DE MSA",,332,0.106526746,"Pahrump, NV MicroSA",,332,0.057038211,"York-Hanover, PA MSA"
333,0.034859806,"Aberdeen, SD MicroSA",,333,0.106109667,"Vincennes, IN MicroSA",,333,0.05686479,"Sikeston, MO MicroSA"
334,0.034606947,"Shelton, WA MicroSA",,334,0.104158838,"Dodge City, KS MicroSA",,334,0.056095526,"Florence, SC MSA"
335,0.033980022,"Owensboro, KY MSA",,335,0.101840091,"Cheyenne, WY MSA",,335,0.055949046,"Fayetteville, NC MSA"
336,0.033711975,"Yuma, AZ MSA",,336,0.101544945,"Redding, CA MSA",,336,0.055839926,"Grants Pass, OR MSA"
337,0.033673539,"Hereford, TX MicroSA",,337,0.101090827,"Johnstown, PA MSA",,337,0.0554626,"Roanoke, VA MSA"
338,0.033584711,"Ardmore, OK MicroSA",,338,0.100930947,"Salina, KS MicroSA",,338,0.054185489,"Augusta-Richmond County, GA-SC MSA"
339,0.03357996,"Evansville, IN-KY MSA",,339,0.099894779,"Jacksonville, NC MSA",,339,0.054041175,"Paris, TN MicroSA"
340,0.033511416,"Rockingham, NC MicroSA",,340,0.099733452,"Mountain Home, AR MicroSA",,340,0.053991649,"Ashtabula, OH MicroSA"
341,0.033446182,"Warren, PA MicroSA",,341,0.09931694,"Centralia, IL MicroSA",,341,0.053826035,"Minot, ND MicroSA"
342,0.03321249,"Sheridan, WY MicroSA",,342,0.09665887,"Mount Vernon, IL MicroSA",,342,0.053065153,"Charlotte-Concord-Gastonia, NC-SC MSA"
343,0.032865663,"Rapid City, SD MSA",,343,0.0965087,"Kerrville, TX MicroSA",,343,0.052892899,"Celina, OH MicroSA"
344,0.032561041,"Idaho Falls, ID MSA",,344,0.096489019,"Casper, WY MSA",,344,0.052288639,"Sioux Falls, SD MSA"
345,0.032509284,"Auburn, IN MicroSA",,345,0.096244088,"Dover, DE MSA",,345,0.052226156,"Palatka, FL MicroSA"
346,0.031930269,"Lewisburg, TN MicroSA",,346,0.094907018,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",,346,0.050947129,"Kearney, NE MicroSA"
347,0.031589387,"Casper, WY MSA",,347,0.090559925,"Corsicana, TX MicroSA",,347,0.050801932,"Canton-Massillon, OH MSA"
348,0.031378042,"Frankfort, IN MicroSA",,348,0.089827541,"Woodward, OK MicroSA",,348,0.047933639,"Sanford, NC MicroSA"
349,0.03115608,"Tullahoma-Manchester, TN MicroSA",,349,0.088861809,"Battle Creek, MI MSA",,349,0.047020319,"Alpena, MI MicroSA"
350,0.0309967,"Forest City, NC MicroSA",,350,0.088734306,"Toledo, OH MSA",,350,0.044786362,"Enid, OK MicroSA"
351,0.030491448,"Cedar City, UT MicroSA",,351,0.088209814,"Blackfoot, ID MicroSA",,351,0.043896511,"Ada, OK MicroSA"
352,0.029573352,"Grand Junction, CO MSA",,352,0.088113811,"Hickory-Lenoir-Morganton, NC MSA",,352,0.042627035,"Sherman-Denison, TX MSA"
353,0.029209945,"Cambridge, MD MicroSA",,353,0.086927964,"Lubbock, TX MSA",,353,0.042342231,"New Philadelphia-Dover, OH MicroSA"
354,0.029190633,"Yakima, WA MSA",,354,0.086276966,"San Antonio-New Braunfels, TX MSA",,354,0.042174114,"Albertville, AL MicroSA"
355,0.029132813,"Johnson City, TN MSA",,355,0.085295569,"Columbia, MO MSA",,355,0.04204596,"Indianapolis-Carmel-Anderson, IN MSA"
356,0.028854956,"Wabash, IN MicroSA",,356,0.085012791,"Springfield, IL MSA",,356,0.041946062,"Sweetwater, TX MicroSA"
357,0.028595823,"Coos Bay, OR MicroSA",,357,0.083076887,"Quincy, IL-MO MicroSA",,357,0.041504103,"Cleveland-Elyria, OH MSA"
358,0.028399646,"New Philadelphia-Dover, OH MicroSA",,358,0.082776103,"Elizabethtown-Fort Knox, KY MSA",,358,0.041482995,"Seymour, IN MicroSA"
359,0.028163914,"Springfield, MO MSA",,359,0.082691215,"Jefferson City, MO MSA",,359,0.040502645,"Sebring, FL MSA"
360,0.02801428,"Moscow, ID MicroSA",,360,0.081374987,"Peoria, IL MSA",,360,0.040268737,"Corning, NY MicroSA"
361,0.027596809,"Twin Falls, ID MicroSA",,361,0.08132391,"Nogales, AZ MicroSA",,361,0.040081583,"Athens, TX MicroSA"
362,0.02747439,"Wheeling, WV-OH MSA",,362,0.080833601,"Akron, OH MSA",,362,0.039806961,"Texarkana, TX-AR MSA"
363,0.027413022,"Fallon, NV MicroSA",,363,0.078077405,"Atlanta-Sandy Springs-Roswell, GA MSA",,363,0.039546722,"Sheridan, WY MicroSA"
364,0.026325959,"Harrisburg-Carlisle, PA MSA",,364,0.076108203,"Oxford, MS MicroSA",,364,0.039427811,"McMinnville, TN MicroSA"
365,0.025634881,"Saginaw, MI MSA",,365,0.07595297,"Paducah, KY-IL MicroSA",,365,0.039375348,"Scranton--Wilkes-Barre--Hazleton, PA MSA"
366,0.024915208,"Sterling, CO MicroSA",,366,0.075888427,"Lewisburg, TN MicroSA",,366,0.039333767,"Richmond-Berea, KY MicroSA"
367,0.024828722,"Billings, MT MSA",,367,0.071576909,"Warner Robins, GA MSA",,367,0.039322361,"Juneau, AK MicroSA"
368,0.024707421,"North Port-Sarasota-Bradenton, FL MSA",,368,0.07010574,"Port Angeles, WA MicroSA",,368,0.038747437,"Cedar Rapids, IA MSA"
369,0.024590763,"Centralia, WA MicroSA",,369,0.067618789,"Columbus, OH MSA",,369,0.038724507,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
370,0.024545986,"Peru, IN MicroSA",,370,0.065529273,"Mexico, MO MicroSA",,370,0.038116447,"Brevard, NC MicroSA"
371,0.024519402,"Bradford, PA MicroSA",,371,0.064563254,"Garden City, KS MicroSA",,371,0.038087709,"Ketchikan, AK MicroSA"
372,0.024250752,"Dayton, OH MSA",,372,0.063976011,"Bowling Green, KY MSA",,372,0.037729818,"Appleton, WI MSA"
373,0.023995356,"Shawnee, OK MicroSA",,373,0.06338592,"Niles-Benton Harbor, MI MSA",,373,0.037186203,"Talladega-Sylacauga, AL MicroSA"
374,0.02398765,"Sandusky, OH MicroSA",,374,0.063102203,"Tucson, AZ MSA",,374,0.036678092,"Pocatello, ID MSA"
375,0.023772116,"Las Vegas-Henderson-Paradise, NV MSA",,375,0.063052655,"Portsmouth, OH MicroSA",,375,0.031928605,"Corsicana, TX MicroSA"
376,0.023718763,"Flint, MI MSA",,376,0.060189676,"Kirksville, MO MicroSA",,376,0.031557341,"Akron, OH MSA"
377,0.023622722,"Columbus, OH MSA",,377,0.060046294,"Houston-The Woodlands-Sugar Land, TX MSA",,377,0.030570523,"Russellville, AR MicroSA"
378,0.023605801,"Michigan City-La Porte, IN MSA",,378,0.059893511,"Brevard, NC MicroSA",,378,0.030013435,"Des Moines-West Des Moines, IA MSA"
379,0.023561459,"Klamath Falls, OR MicroSA",,379,0.059832261,"Key West, FL MicroSA",,379,0.02809824,"Florence-Muscle Shoals, AL MSA"
380,0.023299362,"Parsons, KS MicroSA",,380,0.059375504,"Midland, TX MSA",,380,0.027449311,"Vermillion, SD MicroSA"
